"region","mean_change","median_change","mean_road_density","n"
"borneo",0.00619206948991575,0.00419013015925884,165.775915868247,51100
"cerrado",0.00126397686134017,2.40493100136518e-05,111.595486109902,57600
"kazakhstan",-0.00465363579240248,-0.00671869330108166,295.96875000759,57600
